Time,Velocity,Altitude,Pressure,Temperature
2020:01:10:11:19:25:812,254.22770,10039.75794,51.84610,-36.94093
2020:01:10:11:19:25:812,279.50120,10003.98125,71.48603,35.10287
2020:01:10:11:19:25:812,275.12241,10086.58163,82.94129,24.02846
2020:01:10:11:19:25:812,267.52457,10002.86114,63.24742,19.54125
2020:01:10:11:19:25:812,268.30802,10183.33812,55.36359,-38.94540
2020:01:10:11:19:25:812,265.48503,10031.07351,66.79862,-38.02259
2020:01:10:11:19:25:812,258.51336,10167.25185,57.89991,-13.22078
2020:01:10:11:19:25:812,269.45051,10122.51828,92.03125,-15.56292
2020:01:10:11:19:25:813,282.72635,10101.29931,96.25211,-0.45606
2020:01:10:11:19:25:813,269.01072,10197.31161,46.87294,40.65941
2020:01:10:11:19:25:813,284.44319,10170.68984,69.39742,-15.59075
2020:01:10:11:19:25:813,255.09604,10010.64096,66.87468,33.39091
2020:01:10:11:19:25:813,257.95728,10002.25896,64.57077,26.11808
2020:01:10:11:19:25:813,293.94928,10092.11082,82.13098,18.03817
